facilityname,countrycode,floodrisk,latitude,longitude
BASF CORP,US,3.85,35.136057,-90.096893
BASF CORP - FREEPORT SITE,US,1.61,29.002075,-95.399777
BASF CORP - HARBOR TERM INAL,US,0.26,28.936269,-95.338419
BASF CORP,US,0.39,33.82297,-117.8515
FMC CORP,US,0.26,30.340102,-81.631472
FMC CORP,US,1.24,42.32827,-96.36213
DUPONT YERKES PLANT,US,4.04,42.96227,-78.91914
DUPONT WASHINGTON WORKS,US,30,39.271944,-81.661667
DUPONT ELECTRONIC POLYMERS,US,0.42,39.733992,-84.220103
DUPONT PONTCHARTRAIN WORKS,US,3.09,30.0589,-90.5241
DDP SPECIALTY ELECTRONIC MATERIAL US LLC.,US,0.59,42.534888,-113.813594
HENKEL US OPERATIONS CORP,US,2.6,39.25597,-93.9226
HENKEL US OPERATIONS CORP,US,4.21,39.134272,-94.556855
HENKEL US OPERATIONS CORP,US,2.6,39.25597,-93.9226
HENKEL US OPERATIONS CORP,US,4.21,39.134272,-94.556855
HENKEL US OPERATIONS CORP,US,2.6,39.25597,-93.9226
HENKEL US OPERATIONS CORP,US,4.21,39.134272,-94.556855
HENKEL US OPERATIONS CORP,US,2.6,39.25597,-93.9226
